pais,anio,prop_pct
Corea del Sur,2023,3.29468597241875
Francia,1970,6.74380495473787
Francia,1971,6.88759237419567
Francia,1972,7.1907616451657
Francia,1973,7.21959612184435
Francia,1974,6.2098417853563
Francia,1975,6.9530598775053605
Francia,1976,7.01507921539366
Francia,1977,6.929918651092979
Francia,1978,7.63419281069211
Francia,1979,7.9657403073364
Francia,1980,7.442904130112581
Francia,1981,6.99136431792194
Francia,1982,6.7425211481593905
Francia,1983,6.56606303994533
Francia,1984,6.255640581548221
Francia,1985,6.23880651124478
Francia,1986,6.58552464807976
Francia,1987,6.60173452194468
Francia,1988,6.32828489745187
Francia,1989,6.266886771175651
Francia,1990,6.68813999010152
Francia,1991,6.60626289425371
Francia,1992,6.61543155368778
Francia,1993,5.88842183682062
Francia,1994,5.86351324794943
Francia,1995,5.87608353229216
Francia,1996,5.7276436969376805
Francia,1997,5.4984802212811
Francia,1998,5.86040318115147
Francia,1999,5.5723932918983605
Francia,2000,5.123166789834619
Francia,2001,5.252677913084789
Francia,2002,5.21111584014545
Francia,2003,5.33438911059176
Francia,2004,5.05393629695392
Francia,2005,4.75993441737083
Francia,2006,4.66400314390614
Francia,2007,4.46684918142074
Francia,2008,4.42023494981006
Francia,2009,4.434912782404131
Francia,2010,3.95793798538379
Francia,2011,3.77662244597537
Francia,2012,3.6619233776516102
Francia,2013,3.64128664119752
Francia,2014,3.69114465752459
Francia,2015,3.5426489704838997
Francia,2016,3.59581132937151
Francia,2017,3.49887514961759
Francia,2018,3.40715735180033
Francia,2019,3.4807883887101596
Francia,2020,3.1746087547096
Francia,2021,3.05344999883457
Francia,2022,2.91934516287656
Francia,2023,3.16258855219722
Mexico,1970,0.36037019420726
Mexico,1971,0.363544906246355
Mexico,1972,0.40765098155551
Mexico,1973,0.452519759521
Mexico,1974,0.5239481015663
Mexico,1975,0.44558033181921797
Mexico,1976,0.409766515960246
Mexico,1977,0.41703610898391597
Mexico,1978,0.45364851322919203
Mexico,1979,0.46993937975047
Mexico,1980,0.46568787518093
Mexico,1981,0.586921492182433
Mexico,1982,0.584968387771534
Mexico,1983,0.696894714785211
Mexico,1984,0.824745491780357
Mexico,1985,0.821557539051361
Mexico,1986,0.816567099298649
Mexico,1987,0.88899256295236
Mexico,1988,0.9609770055921859
Mexico,1989,0.9769445888653441
Mexico,1990,0.9549095607300421
Mexico,1991,1.02398273189068
Mexico,1992,1.09228163756957
Mexico,1993,1.27035117827493
Mexico,1994,1.38141433853792
Mexico,1995,1.50186789102134
Mexico,1996,1.72566124180361
Mexico,1997,1.93588940333433
Mexico,1998,2.18235424844713
Mexico,1999,2.39850695246802
Mexico,2000,2.58944436999279
Mexico,2001,2.69191135821855
Mexico,2002,2.5898121205216498
Mexico,2003,2.32131929573974
Mexico,2004,2.15847012625603
Mexico,2005,2.100886004808
Mexico,2006,2.14174946703792
Mexico,2007,2.0469192972604198
Mexico,2008,1.8711299045397498
Mexico,2009,1.95110463801705
Mexico,2010,2.20987004219145
Mexico,2011,2.13688461859167
Mexico,2012,2.2977824597706
Mexico,2013,2.3563541277383497
Mexico,2014,2.4690854079285898
Mexico,2015,2.69315741575631
Mexico,2016,2.74312503025055
Mexico,2017,2.8169321943098997
Mexico,2018,2.82482461001588
Mexico,2019,2.9588303493624997
Mexico,2020,2.8907492593395
Mexico,2021,2.67412220772578
Mexico,2022,2.81302426472111
Mexico,2023,3.02877473802967
