pais,anio,gdp_indust_pc_indice
Corea del Sur,2006,3534.71572408105
Corea del Sur,2007,3800.28935215587
Corea del Sur,2008,3911.82409056746
Corea del Sur,2009,3831.60532601302
Corea del Sur,2010,4349.1108318871
Corea del Sur,2011,4539.78009760887
Corea del Sur,2012,4575.2591226223
Corea del Sur,2013,4690.88178019528
Corea del Sur,2014,4802.92295143233
Corea del Sur,2015,4845.09184000527
Corea del Sur,2016,4915.32722846485
Corea del Sur,2017,5105.71985435642
Corea del Sur,2018,5262.93061554279
Corea del Sur,2019,5276.04260667727
Corea del Sur,2020,5161.33530072613
Corea del Sur,2021,5496.68997307202
Corea del Sur,2022,5639.8163038789
Corea del Sur,2023,5739.12585346763
Francia,1970,100
Francia,1971,105.552247387373
Francia,1972,104.780165696616
Francia,1973,109.614940506311
Francia,1974,117.440799886757
Francia,1975,113.581354767285
Francia,1976,120.267569011106
Francia,1977,124.149882637797
Francia,1978,119.311700820506
Francia,1979,121.125273177041
Francia,1980,120.5392292418
Francia,1981,118.82398601212
Francia,1982,118.09050090828
Francia,1983,119.503926665492
Francia,1984,118.931569151796
Francia,1985,119.680424434786
Francia,1986,118.451902933113
Francia,1987,117.842475445558
Francia,1988,122.422154247189
Francia,1989,127.177155901641
Francia,1990,131.03067190638
Francia,1991,130.840899186751
Francia,1992,131.099703763805
Francia,1993,127.937048583054
Francia,1994,131.616796765708
Francia,1995,137.039073528409
Francia,1996,138.14570997838
Francia,1997,144.269974529038
Francia,1998,151.025944123024
Francia,1999,156.123654341203
Francia,2000,163.198334389496
Francia,2001,163.72539323794
Francia,2002,161.877349423331
Francia,2003,164.542446413964
Francia,2004,167.416672066703
Francia,2005,169.088722508646
Francia,2006,172.4096941836
Francia,2007,175.204467256431
Francia,2008,168.922688262305
Francia,2009,156.941692912959
Francia,2010,159.712597103525
Francia,2011,164.998155861285
Francia,2012,162.905467398802
Francia,2013,162.47154706268
Francia,2014,163.963579930862
Francia,2015,163.959611027208
Francia,2016,164.270325786727
Francia,2017,167.081385956727
Francia,2018,169.596038322749
Francia,2019,172.327623537082
Francia,2020,156.548249138425
Francia,2021,169.597071851624
Francia,2022,166.911958378463
Francia,2023,170.102637832788
Mexico,1970,100
Mexico,1971,100.714443396319
Mexico,1972,107.280105743694
Mexico,1973,115.051483801126
Mexico,1974,118.813983152057
Mexico,1975,121.293149123695
Mexico,1976,123.8944468777
Mexico,1977,124.981495727027
Mexico,1978,133.579126353026
Mexico,1979,144.00127216098
Mexico,1980,150.534860026239
Mexico,1981,156.52422477515
Mexico,1982,148.916686572336
Mexico,1983,134.339753558307
Mexico,1984,138.099485680997
Mexico,1985,143.474174741365
Mexico,1986,133.178207162494
Mexico,1987,134.494110938845
Mexico,1988,136.070155192845
Mexico,1989,144.008229803026
Mexico,1990,150.830913485091
Mexico,1991,153.031738684221
Mexico,1992,156.411831332136
Mexico,1993,152.505162978758
Mexico,1994,154.742314056299
Mexico,1995,142.651666213884
Mexico,1996,152.287902896723
Mexico,1997,165.917971487722
Mexico,1998,178.854514745372
Mexico,1999,179.680795480128
Mexico,2000,189.980117413446
Mexico,2001,183.334489033192
Mexico,2002,175.323242842515
Mexico,2003,172.446876073286
Mexico,2004,174.364661738598
Mexico,2005,175.850864188869
Mexico,2006,182.302870318181
Mexico,2007,180.397860679813
Mexico,2008,175.012518773279
Mexico,2009,154.609566258621
Mexico,2010,163.678803621122
Mexico,2011,166.734548441854
Mexico,2012,172.365930211056
Mexico,2013,169.421149493551
Mexico,2014,173.933501572433
Mexico,2015,178.123868988421
Mexico,2016,177.921442348043
Mexico,2017,180.68703435545
Mexico,2018,181.427958991007
Mexico,2019,179.636759842852
Mexico,2020,163.471178628851
Mexico,2021,176.632492219429
Mexico,2022,185.191527977791
Mexico,2023,185.919654447346
